Unnamed: 0,employee_id,department,city,experience_years,Jan,Feb,Mar,Apr,May,Jun
0,0,1001,Sales,Athens,2,1200,1250,1300,1350,1400,1450
1,1,1002,Sales,Athens,4,1500,1520,1600,1650,1700,1750
2,2,1003,Sales,Patras,7,1800,1850,1900,1950,2000,2050
3,3,1004,Sales,Patras,3,1300,1350,1400,1450,1500,1550
4,4,1005,Sales,Volos,5,1600,1620,1700,1750,1800,1850
5,5,1006,Sales,Larisa,8,1900,1950,2000,2050,2100,2150
6,6,1007,Sales,Athens,10,2200,2250,2300,2350,2400,2450
7,7,1008,Sales,Kavala,1,1100,1150,1200,1250,1300,1350
8,8,1009,Marketing,Athens,2,900,920,950,980,1000,1020
9,9,1010,Marketing,Athens,6,1100,1120,1150,1180,1200,1220
10,10,1011,Marketing,Patras,4,1000,1020,1050,1080,1100,1120
11,11,1012,Marketing,Patras,5,950,980,1000,1020,1050,1070
12,12,1013,Marketing,Volos,7,1200,1230,1250,1280,1300,1330
13,13,1014,Marketing,Larisa,9,1300,1320,1350,1380,1400,1430
14,14,1015,Marketing,Athens,3,1050,1080,1100,1130,1150,1180
15,15,1016,Marketing,Kavala,1,980,1000,1030,1060,1080,1100
16,16,1017,Finance,Athens,10,2200,2250,2300,2350,2400,2450
17,17,1018,Finance,Athens,12,2400,2450,2500,2550,2600,2650
18,18,1019,Finance,Patras,5,2100,2150,2200,2250,2300,2350
19,19,1020,Finance,Patras,7,2300,2350,2400,2450,2500,2550
20,20,1021,Finance,Volos,8,2500,2550,2600,2650,2700,2750
21,21,1022,Finance,Larisa,15,2700,2750,2800,2850,2900,2950
22,22,1023,Finance,Athens,4,2000,2050,2100,2150,2200,2250
23,23,1024,Finance,Kavala,6,2250,2300,2350,2400,2450,2500
24,24,1025,HR,Athens,1,700,720,740,760,780,800
25,25,1026,HR,Athens,2,800,820,840,860,880,900
26,26,1027,HR,Patras,3,750,770,790,810,830,850
27,27,1028,HR,Patras,4,850,870,890,910,930,950
28,28,1029,HR,Volos,5,900,920,940,960,980,1000
29,29,1030,HR,Larisa,6,950,970,990,1010,1030,1050
30,30,1031,HR,Athens,7,1000,1020,1040,1060,1080,1100
31,31,1032,HR,Kavala,8,1050,1070,1090,1110,1130,1150
32,32,1033,Operations,Athens,3,1400,1450,1500,1550,1600,1650
33,33,1034,Operations,Athens,5,1600,1620,1650,1680,1700,1750
34,34,1035,Operations,Patras,7,1700,1720,1750,1780,1800,1850
35,35,1036,Operations,Patras,9,1800,1830,1850,1880,1900,1950
36,36,1037,Operations,Volos,11,1900,1930,1950,1980,2000,2050
37,37,1038,Operations,Larisa,2,1500,1520,1550,1580,1600,1650
38,38,1039,Operations,Athens,4,1550,1580,1600,1630,1650,1700
39,39,1040,Operations,Kavala,6,1650,1680,1700,1730,1750,1800
